References,Qty,Description,Manufacturer,MPN
C1,1,10pF 0603,Yageo,CC0603JRNPO9BN100
C2,1,6.8pF 0603,Yageo,CC0603DRNPO9BN6R8
C3 C4,2,100pF 0603,Yageo,CC0603JRNPO9BN101
C5 C6,2,4.3pF 0603,Yageo,CC0603CRNPO9BN4R3
C7,1,11pF 0603,Yageo,CC0603JPNPO9BN110
C8,1,5.6pF 0603,Yageo,CC0603DRNPO9BN5R6
C9,1,5.1pF 0603,Yageo,CC0603CRNPO9BN5R1
C10 C12 C15,3,10nF 0603,Yageo,CC0603KRX7R9BB103
C11 C13,2,100nF 0603,Yageo,CC0603KRX7R9BB104
C14,1,39pF 0603,Yageo,CC0603JRNPO9BN390
JP1,1,CPL-CON-HEADER-THT-MALE,,
R1 R2,2,100nH 0603,Murata,LQW18ASR10G00D
R3 R4,2,43nH 0603,Murata,LQW18AN43NG00D
R5 R6,2,27nH 0603,Murata,LQW18AN27NG00D
R9,1,6.8nH 0603,Murata,LQW18AN6N8C00D
R10,1,12k 0603,Yageo,RC0603FR-0712KL
U1,1,AX5043,onsemi,AX5043-1-TW30
X1,1,12MHz TCXO 2520,ECS,ECS-TXO-2520MV-120-AY-TR
X2,1,SMA female connector PCB edge mount,RF Solutions,CON-SMA-EDGE-S
